"gene_name","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"RPL22P1",67.4098780327493,0.434554650543768,0.218528933086319,0.0390725549572167,0.0645895409965555
"MAPKAPK3",3174.64825381769,-0.254494970578557,0.128547823153109,0.0390854856573524,0.0646080068226276
"SIRLNT",1.46321715027212,5.93309452854441,1.48690727326961,0.0391047119237047,0.0646368770395962
"AP006621.3",114.357784261063,0.315890081535376,0.155720778298874,0.0391136616995339,0.064648759226732
"AC107214.2",10.9316812711886,0.392603830020125,0.195999804950989,0.0391160614012087,0.0646498145842219
"KDM4C",1176.56238859071,-0.207682750126274,0.101425409349569,0.0391197761217341,0.064652395460208
"HS6ST1",1962.97016127596,0.301183906487291,0.148018196546645,0.0391211454713452,0.064652395460208
"AL365361.1",586.249759900408,-0.500298622129031,0.251293369715363,0.0391235692194762,0.0646534902493374
"CA14",52.5889372806211,0.532417989149672,0.193192046129421,0.0391332062808941,0.0646665047339093
"RPE65",2.41213880632017,3.17846038787587,0.556505073398235,0.0391385997103267,0.0646725058819119
"TBC1D8B",751.091250930301,0.266616016477767,0.130670598655631,0.0391453165568773,0.0646806932017399
"PRR15L",3175.66284303067,0.44113287803326,0.221094969082253,0.0391472090137763,0.0646809086950398
"HNRNPA1P36",3.42118783478616,0.543876421647552,0.277159304797724,0.0391630621378226,0.0647041896190112
"AC012435.3",3.27155579125589,0.553982354080565,0.284325955929578,0.0391908806787401,0.0647472365072771
"MYBPHL",183.551157168702,0.698865413425617,0.382985845943341,0.0392184653497509,0.0647898931619558
"CCDC102A",407.24550232901,-0.291354781674839,0.14296876555548,0.0392644368087737,0.0648609757270233
"AL591135.1",18.3241563873811,-0.330579629824277,0.163145286698803,0.0392650267681681,0.0648609757270233
"GAPDHP64",1.09355658020419,0.823456679270456,0.473600192221482,0.0393163045107815,0.0649398355823329
"AL118508.2",4.89884025628278,-0.538956081695997,0.27316048087999,0.0393161003840675,0.0649398355823329
"UCP2",7938.83594730995,0.350210119124932,0.166184040962378,0.0393693617955088,0.0650245288007551
"RN7SL617P",1.0303421619119,5.1681860218423,1.76586778593114,0.0393711228376807,0.0650245288007551
